FullName,Email,CountTotal,USAState,MaxSize,Season,ExperimentID
SAMANTHA FALCUCCI,SQF5077@PSU.EDU,11,NJ,0.22,SUMMER,1
JANE GOODALL,EARTH@PSU.EDU,2,NY,0.5,SUMMER,26
NITTANY LION,PSU@EDU.COM,7,PA,0.5,SPRING,27
SAMANTHA MITCHELL,SM@PSU.EDU,8,CA,0.2,SUMMER,28
JAMES ANDERSON,JA@PSU.EDU,55,CT,0.1,WINTER,29
BRUCE SPRINGSTEEN,ASBURY@PSU.EDU,14,NJ,0.1,SPRING,30
LIAM PAYNE,1D@PSU.EDU,20,FL,4.0,WINTER,31
LEONARDO DICAPRIO,TITANIC@GMAIL.COM,4,CA,2.2,SUMMER,32
ORLANDO BLOOM,PIRATES@COMCAST.NET,7,NY,0.6,FALL,34
NOAH KAHAN,STICKS@GMAIL.COM,7,MA,0.1,FALL,35
STANLEY TUCCI,ACTOR@YAHOO.COM,13,MI,4.0,SUMMER,37
